market,trade_date_utc,trade_time_utc,timestamp,trade_price,trade_volume,prev_closing_price,change_price,ask_bid,sequential_id
KRW-SUI,2024-03-19,15:08:56,1710860936954,2435.0,157.96381674,2230.0,205.0,ASK,17108609369540002
KRW-SUI,2024-03-19,15:08:56,1710860936954,2436.0,327.3330494,2230.0,206.0,ASK,17108609369540001
KRW-SUI,2024-03-19,15:08:56,1710860936954,2437.0,111.94314588,2230.0,207.0,ASK,17108609369540000
KRW-SUI,2024-03-19,15:08:56,1710860936338,2437.0,2063.03387504,2230.0,207.0,ASK,17108609363380000
KRW-SUI,2024-03-19,15:08:56,1710860936216,2439.0,192.52528551,2230.0,209.0,BID,17108609362160000
KRW-SUI,2024-03-19,15:08:55,1710860935062,2439.0,100.0,2230.0,209.0,BID,17108609350620000
KRW-SUI,2024-03-19,15:08:53,1710860933081,2438.0,1e-08,2230.0,208.0,ASK,17108609330810000
KRW-SUI,2024-03-19,15:08:53,1710860933018,2438.0,61.81911401,2230.0,208.0,ASK,17108609330180001
KRW-SUI,2024-03-19,15:08:53,1710860933018,2438.0,8.20344544,2230.0,208.0,ASK,17108609330180000
KRW-SUI,2024-03-19,15:08:52,1710860932134,2439.0,61.73215155,2230.0,209.0,ASK,17108609321340000
KRW-SUI,2024-03-19,15:08:50,1710860930531,2440.0,930.03045221,2230.0,210.0,ASK,17108609305310000
KRW-SUI,2024-03-19,15:08:50,1710860930520,2440.0,170.68819533,2230.0,210.0,ASK,17108609305200001
KRW-SUI,2024-03-19,15:08:50,1710860930520,2440.0,150.98846467,2230.0,210.0,ASK,17108609305200000
KRW-SUI,2024-03-19,15:08:50,1710860930457,2440.0,350.47799143,2230.0,210.0,ASK,17108609304570000
KRW-SUI,2024-03-19,15:08:50,1710860930451,2440.0,422.73087996,2230.0,210.0,ASK,17108609304510001
KRW-SUI,2024-03-19,15:08:50,1710860930451,2440.0,41.25032653,2230.0,210.0,ASK,17108609304510000
KRW-SUI,2024-03-19,15:08:50,1710860930446,2440.0,373.42102631,2230.0,210.0,ASK,17108609304460001
KRW-SUI,2024-03-19,15:08:50,1710860930446,2440.0,34.97909816,2230.0,210.0,ASK,17108609304460000
KRW-SUI,2024-03-19,15:08:50,1710860930244,2441.0,102.41704219,2230.0,211.0,BID,17108609302440000
KRW-SUI,2024-03-19,15:08:49,1710860929058,2441.0,92.42848866,2230.0,211.0,BID,17108609290580000
KRW-SUI,2024-03-19,15:08:47,1710860927740,2441.0,48.46166918,2230.0,211.0,BID,17108609277400000
KRW-SUI,2024-03-19,15:08:46,1710860926193,2441.0,224.21239018,2230.0,211.0,BID,17108609261930000
KRW-SUI,2024-03-19,15:08:46,1710860926146,2441.0,223.57802905,2230.0,211.0,BID,17108609261460000
KRW-SUI,2024-03-19,15:08:46,1710860926030,2440.0,1272.81393462,2230.0,210.0,ASK,17108609260300002
KRW-SUI,2024-03-19,15:08:46,1710860926030,2440.0,71.76780462,2230.0,210.0,ASK,17108609260300001
KRW-SUI,2024-03-19,15:08:46,1710860926030,2440.0,271.30944847,2230.0,210.0,ASK,17108609260300000
KRW-SUI,2024-03-19,15:08:43,1710860923763,2441.0,213.97621807,2230.0,211.0,BID,17108609237630000
KRW-SUI,2024-03-19,15:08:43,1710860923603,2440.0,3.81424194,2230.0,210.0,ASK,17108609236030000
KRW-SUI,2024-03-19,15:08:43,1710860923239,2440.0,1437.3932772,2230.0,210.0,ASK,17108609232390000
KRW-SUI,2024-03-19,15:08:40,1710860920793,2441.0,217.08191096,2230.0,211.0,BID,17108609207930000
KRW-SUI,2024-03-19,15:08:40,1710860920191,2441.0,33.96604949,2230.0,211.0,ASK,17108609201910000
KRW-SUI,2024-03-19,15:08:39,1710860919943,2441.0,4.1135,2230.0,211.0,BID,17108609199430001
KRW-SUI,2024-03-19,15:08:39,1710860919943,2441.0,21.92594006,2230.0,211.0,BID,17108609199430000
KRW-SUI,2024-03-19,15:08:39,1710860919493,2440.0,526.75110327,2230.0,210.0,ASK,17108609194930001
KRW-SUI,2024-03-19,15:08:39,1710860919493,2440.0,637.32740263,2230.0,210.0,ASK,17108609194930000
KRW-SUI,2024-03-19,15:08:38,1710860918689,2440.0,30.82263833,2230.0,210.0,ASK,17108609186890000
KRW-SUI,2024-03-19,15:08:37,1710860917659,2441.0,68.47321339,2230.0,211.0,BID,17108609176590000
KRW-SUI,2024-03-19,15:08:34,1710860914040,2441.0,227.3546,2230.0,211.0,BID,17108609140400000
KRW-SUI,2024-03-19,15:08:33,1710860913971,2440.0,6.27528383,2230.0,210.0,ASK,17108609139710000
KRW-SUI,2024-03-19,15:08:33,1710860913035,2441.0,48.3,2230.0,211.0,BID,17108609130350000
KRW-SUI,2024-03-19,15:08:32,1710860912288,2441.0,61.08158475,2230.0,211.0,ASK,17108609122880000
KRW-SUI,2024-03-19,15:08:30,1710860910115,2441.0,253.37478559,2230.0,211.0,ASK,17108609101150000
KRW-SUI,2024-03-19,15:08:24,1710860904348,2441.0,321.67665827,2230.0,211.0,BID,17108609043480000
KRW-SUI,2024-03-19,15:08:24,1710860904032,2441.0,4632.63680299,2230.0,211.0,BID,17108609040320000
KRW-SUI,2024-03-19,15:08:23,1710860903941,2441.0,2071.889,2230.0,211.0,BID,17108609039410000
KRW-SUI,2024-03-19,15:08:23,1710860903726,2440.0,118.78671726,2230.0,210.0,BID,17108609037260000
KRW-SUI,2024-03-19,15:08:22,1710860902053,2440.0,81.8,2230.0,210.0,BID,17108609020530000
KRW-SUI,2024-03-19,15:08:21,1710860901173,2440.0,101.36120464,2230.0,210.0,ASK,17108609011730002
KRW-SUI,2024-03-19,15:08:21,1710860901173,2440.0,83.64690798,2230.0,210.0,ASK,17108609011730001
KRW-SUI,2024-03-19,15:08:21,1710860901173,2440.0,73.41505805,2230.0,210.0,ASK,17108609011730000
KRW-SUI,2024-03-19,15:08:20,1710860900232,2440.0,2.8830313,2230.0,210.0,ASK,17108609002320000
KRW-SUI,2024-03-19,15:08:20,1710860900052,2441.0,128.3,2230.0,211.0,BID,17108609000520000
KRW-SUI,2024-03-19,15:08:19,1710860899909,2441.0,1227.49590834,2230.0,211.0,BID,17108608999090000
KRW-SUI,2024-03-19,15:08:18,1710860898257,2441.0,84.70193139,2230.0,211.0,BID,17108608982570000
KRW-SUI,2024-03-19,15:08:18,1710860898196,2438.0,333.99050822,2230.0,208.0,BID,17108608981960000
KRW-SUI,2024-03-19,15:08:17,1710860897735,2438.0,79.71671135,2230.0,208.0,ASK,17108608977350005
KRW-SUI,2024-03-19,15:08:17,1710860897735,2440.0,896.34322183,2230.0,210.0,ASK,17108608977350004
KRW-SUI,2024-03-19,15:08:17,1710860897735,2440.0,298.17024467,2230.0,210.0,ASK,17108608977350003
KRW-SUI,2024-03-19,15:08:17,1710860897735,2440.0,472.51022379,2230.0,210.0,ASK,17108608977350002
KRW-SUI,2024-03-19,15:08:17,1710860897735,2440.0,70.06186076,2230.0,210.0,ASK,17108608977350001
KRW-SUI,2024-03-19,15:08:17,1710860897735,2440.0,70.06186077,2230.0,210.0,ASK,17108608977350000
KRW-SUI,2024-03-19,15:08:17,1710860897394,2441.0,20.0,2230.0,211.0,BID,17108608973940000
KRW-SUI,2024-03-19,15:08:17,1710860897111,2441.0,173.12427543,2230.0,211.0,ASK,17108608971110000
KRW-SUI,2024-03-19,15:08:17,1710860897103,2441.0,205.32303337,2230.0,211.0,ASK,17108608971030000
KRW-SUI,2024-03-19,15:08:17,1710860897094,2441.0,210.59774905,2230.0,211.0,ASK,17108608970940000
KRW-SUI,2024-03-19,15:08:16,1710860896845,2441.0,1488.20554257,2230.0,211.0,ASK,17108608968450002
KRW-SUI,2024-03-19,15:08:16,1710860896845,2441.0,397.92844257,2230.0,211.0,ASK,17108608968450001
KRW-SUI,2024-03-19,15:08:16,1710860896845,2441.0,1034.46761486,2230.0,211.0,ASK,17108608968450000
KRW-SUI,2024-03-19,15:08:16,1710860896809,2441.0,294.47381364,2230.0,211.0,ASK,17108608968090001
KRW-SUI,2024-03-19,15:08:16,1710860896809,2441.0,2.95386923,2230.0,211.0,ASK,17108608968090000
KRW-SUI,2024-03-19,15:08:16,1710860896601,2444.0,24.0671031,2230.0,214.0,BID,17108608966010000
KRW-SUI,2024-03-19,15:08:14,1710860894369,2444.0,49.92728759,2230.0,214.0,BID,17108608943690000
KRW-SUI,2024-03-19,15:08:13,1710860893143,2441.0,500.40749,2230.0,211.0,ASK,17108608931430000
KRW-SUI,2024-03-19,15:08:13,1710860893048,2445.0,232.63836027,2230.0,215.0,BID,17108608930480001
KRW-SUI,2024-03-19,15:08:13,1710860893048,2442.0,6.20073973,2230.0,212.0,BID,17108608930480000
KRW-SUI,2024-03-19,15:08:12,1710860892522,2445.0,9.07761438,2230.0,215.0,BID,17108608925220000
KRW-SUI,2024-03-19,15:08:11,1710860891355,2442.0,38.60151522,2230.0,212.0,BID,17108608913550000
KRW-SUI,2024-03-19,15:08:10,1710860890218,2442.0,201.7,2230.0,212.0,BID,17108608902180000
KRW-SUI,2024-03-19,15:08:10,1710860890154,2439.0,404.11458979,2230.0,209.0,ASK,17108608901540001
KRW-SUI,2024-03-19,15:08:10,1710860890154,2439.0,1514.15487648,2230.0,209.0,ASK,17108608901540000
KRW-SUI,2024-03-19,15:08:09,1710860889128,2441.0,1931.67655672,2230.0,211.0,BID,17108608891280000
KRW-SUI,2024-03-19,15:08:09,1710860889020,2441.0,122.78590741,2230.0,211.0,BID,17108608890200000
KRW-SUI,2024-03-19,15:08:08,1710860888707,2441.0,49.98854806,2230.0,211.0,BID,17108608887070000
KRW-SUI,2024-03-19,15:08:08,1710860888420,2441.0,229.8,2230.0,211.0,BID,17108608884200000
KRW-ETH,2024-03-19,15:11:30,1710861090570,4807000.0,0.02998271,5156000.0,-349000.0,BID,17108610905700000
KRW-ETH,2024-03-19,15:11:30,1710861090400,4807000.0,0.03136854,5156000.0,-349000.0,BID,17108610904000000
KRW-ETH,2024-03-19,15:11:29,1710861089795,4806000.0,2.4477816,5156000.0,-350000.0,ASK,17108610897950000
KRW-ETH,2024-03-19,15:11:29,1710861089414,4806000.0,0.0832034,5156000.0,-350000.0,BID,17108610894140000
KRW-ETH,2024-03-19,15:11:29,1710861089022,4806000.0,0.03565859,5156000.0,-350000.0,BID,17108610890220000
KRW-ETH,2024-03-19,15:11:26,1710861086753,4806000.0,0.0011444,5156000.0,-350000.0,ASK,17108610867530000
KRW-ETH,2024-03-19,15:11:26,1710861086275,4802000.0,0.83036431,5156000.0,-354000.0,ASK,17108610862750017
KRW-ETH,2024-03-19,15:11:26,1710861086275,4803000.0,0.07600759,5156000.0,-353000.0,ASK,17108610862750016
KRW-ETH,2024-03-19,15:11:26,1710861086275,4803000.0,0.02080299,5156000.0,-353000.0,ASK,17108610862750015
KRW-ETH,2024-03-19,15:11:26,1710861086275,4803000.0,0.02290235,5156000.0,-353000.0,ASK,17108610862750014
